Date,Open,High,Low,Close,Volume
2025-06-11,138.58,141.03,138.31,140.7,2052001
2025-06-12,141.87,141.98,141.07,141.58,850655
2025-06-13,141.6,141.63,139.94,140.17,1904803
2025-06-16,139.34,141.11,138.36,140.4,811047
2025-06-17,140.99,142.34,140.81,141.93,2427262
2025-06-18,140.71,141.23,139.69,141.11,1826334
2025-06-19,141.8,143.29,140.63,142.65,1443508
2025-06-20,143.63,144.38,141.87,142.91,1781498
2025-06-23,141.54,144.2,141.2,143.93,935646
2025-06-24,142.73,143.07,141.83,142.59,1420214
2025-06-25,141.72,142.26,140.6,141.94,1901660
2025-06-26,140.96,143.36,140.76,142.49,1445074
2025-06-27,142.91,145.61,142.09,144.94,2232848
2025-06-30,144.12,146.36,143.75,146.32,1255159
2025-07-01,147.65,148.7,144.49,144.87,1914245
2025-07-02,146.12,146.67,144.03,144.35,1219266
2025-07-03,143.64,145.36,142.56,144.66,1478980
2025-07-04,146.15,146.76,143.14,143.25,880097
2025-07-07,143.64,144.59,140.8,141.3,907997
2025-07-08,142.79,143.43,139.54,140.71,2263325
2025-07-09,141.37,142.19,137.62,138.27,1253602
2025-07-10,137.1,139.49,136.56,138.97,2421487
2025-07-11,138.26,141.45,138.05,140.85,2351467
2025-07-14,140.25,143.47,139.52,142.7,1059826
2025-07-15,142.82,144.95,142.19,144.02,800972
2025-07-16,142.58,144.25,141.52,143.14,2213831
2025-07-17,141.81,143.23,140.68,142.18,945610
2025-07-18,140.88,143.02,139.96,142.11,1018265
2025-07-21,142.25,142.57,140.93,141.98,1519334
2025-07-22,142.1,142.98,140.3,140.54,1329917
2025-07-23,140.99,143.54,140.37,143.02,1005707
2025-07-24,142.53,143.24,141.36,141.64,1174369
2025-07-25,142.03,142.31,138.41,139.49,2261380
2025-07-28,138.71,139.51,137.09,137.35,1024930
2025-07-29,137.56,140.09,136.62,139.53,2172744
2025-07-30,138.32,138.83,137.47,137.98,1593941
2025-07-31,138.5,140.31,138.38,139.12,1484456
2025-08-01,140.21,140.51,138.09,138.32,1562643
2025-08-04,137.66,138.23,136.55,137.93,1553322
2025-08-05,138.08,139.8,136.88,139.74,2221246
2025-08-06,141.02,143.1,140.82,142.08,1625589
2025-08-07,141.78,141.86,140.2,140.65,2475025
2025-08-08,141.5,142.05,138.97,139.48,2427439
2025-08-11,139.64,142.82,139.46,141.95,1304403
2025-08-12,142.19,144.95,141.29,144.3,897180
2025-08-13,144.31,145.74,144.12,144.72,2433324
2025-08-14,143.78,144.49,141.81,142.62,1199846
2025-08-15,143.79,144.08,140.0,140.72,1852948
2025-08-18,140.97,141.6,139.19,140.31,1147240
2025-08-19,139.53,141.87,138.72,141.4,1309995
2025-08-20,142.15,142.24,139.93,140.48,2497372
2025-08-21,139.2,143.21,138.88,142.96,2386540
2025-08-22,144.09,145.3,143.91,144.86,2217366
2025-08-25,145.2,147.06,144.41,145.88,813299
2025-08-26,145.28,148.26,144.15,147.46,1028294
2025-08-27,146.29,146.95,145.21,145.54,1828210
2025-08-28,144.65,147.39,144.34,146.63,1630504
2025-08-29,147.67,148.77,147.16,148.66,1270356
2025-09-01,149.47,150.23,145.86,146.17,2060092
2025-09-02,145.96,146.44,145.87,146.43,2301280
2025-09-03,146.57,149.45,145.87,148.45,1051759
2025-09-04,147.88,148.96,145.63,146.59,2263194
2025-09-05,145.72,148.88,145.6,148.58,2126197
2025-09-08,148.3,151.25,148.12,150.5,2380797
2025-09-09,151.93,153.3,150.88,152.33,842136
2025-09-10,151.82,154.63,150.86,153.51,2268908
2025-09-11,152.81,156.01,152.68,155.06,2282683
2025-09-12,154.23,157.84,153.68,156.86,1318824
2025-09-15,156.04,158.36,155.81,158.33,1358045
2025-09-16,159.73,160.49,158.96,160.16,1479453
2025-09-17,160.26,163.69,160.13,162.56,2449681
2025-09-18,163.95,164.27,160.82,160.95,1538758
2025-09-19,160.39,162.82,159.78,162.1,1454832
2025-09-22,161.36,163.33,161.36,162.48,2373477
2025-09-23,163.14,164.03,161.87,162.67,1419176
2025-09-24,163.16,163.56,160.14,160.52,2241625
2025-09-25,159.92,161.99,159.43,161.62,1484080
2025-09-26,160.5,161.1,159.37,160.6,1951440
2025-09-29,160.95,162.97,160.29,162.61,800690
2025-09-30,162.4,163.1,160.76,161.55,1590479
2025-10-01,160.69,161.83,159.61,161.26,2153242
2025-10-02,160.01,160.63,158.85,159.61,1369820
2025-10-03,160.36,162.01,160.09,161.2,1138520
2025-10-06,160.43,161.0,157.8,158.82,923807
2025-10-07,159.21,159.44,157.56,158.39,1640441
2025-10-08,158.86,158.87,156.21,157.11,2109078
