Date,Open,High,Low,Close,Volume
2025-06-11,299.55,300.71,297.37,298.21,1466328
2025-06-12,299.52,299.89,298.23,298.68,2145825
2025-06-13,299.19,301.24,298.31,300.25,1965204
2025-06-16,300.69,301.19,299.95,300.38,1416416
2025-06-17,299.52,300.66,298.2,298.78,1185123
2025-06-18,297.51,298.53,296.85,296.97,2110487
2025-06-19,298.12,298.69,297.72,298.64,2102722
2025-06-20,298.28,298.47,295.8,296.8,2110866
2025-06-23,295.8,298.87,295.3,298.35,1949816
2025-06-24,298.18,298.52,296.13,297.03,1563177
2025-06-25,296.46,298.17,295.9,297.2,2219692
2025-06-26,298.54,299.73,295.99,296.54,1279011
2025-06-27,296.62,297.78,294.97,295.95,2162140
2025-06-30,295.2,295.97,293.09,294.14,1742719
2025-07-01,295.18,296.2,291.81,292.16,2097298
2025-07-02,293.37,293.55,290.5,291.02,2408902
2025-07-03,290.87,291.29,289.6,289.63,890536
2025-07-04,288.84,290.83,288.39,289.64,847918
2025-07-07,290.66,292.57,289.71,291.79,1033919
2025-07-08,292.78,293.62,290.56,290.73,1999411
2025-07-09,289.25,290.57,288.94,290.47,2219437
2025-07-10,291.15,291.79,290.58,290.72,1289772
2025-07-11,289.36,290.23,288.41,289.72,1577093
2025-07-14,290.94,291.65,287.76,287.78,1676138
2025-07-15,286.71,287.22,285.75,286.49,1208959
2025-07-16,286.98,287.08,284.9,286.07,915054
2025-07-17,286.09,287.39,285.43,286.2,1463771
2025-07-18,286.61,287.78,285.75,286.05,827611
2025-07-21,285.58,288.37,284.83,287.49,2111552
2025-07-22,286.99,288.72,286.33,288.67,2182965
2025-07-23,289.51,290.06,286.21,287.04,1873950
2025-07-24,285.73,289.53,285.18,288.6,1298852
2025-07-25,287.7,287.75,285.2,286.32,1676152
2025-07-28,286.45,289.07,285.55,288.77,1124875
2025-07-29,289.61,290.65,287.65,288.05,1011607
2025-07-30,289.22,290.11,286.32,287.39,1457296
2025-07-31,287.38,290.36,286.27,289.76,1682768
2025-08-01,290.44,291.36,289.72,291.27,2197980
2025-08-04,290.73,291.59,289.94,291.49,1321042
2025-08-05,291.27,292.83,290.85,292.01,872003
2025-08-06,291.56,295.05,291.23,293.86,2466046
2025-08-07,292.58,296.86,292.15,296.1,2161863
2025-08-08,297.45,297.63,296.26,296.99,2128230
2025-08-11,295.69,296.63,294.23,294.67,1450852
2025-08-12,294.98,295.82,293.84,295.0,1432422
2025-08-13,295.22,296.95,294.75,296.32,1904253
2025-08-14,295.16,296.04,294.47,295.07,1457878
2025-08-15,294.35,295.69,293.82,295.37,2493820
2025-08-18,296.62,297.21,294.16,294.3,2249804
2025-08-19,295.5,296.03,293.96,294.06,1959279
2025-08-20,293.52,296.21,293.44,295.79,1721691
2025-08-21,296.84,298.6,295.73,297.75,1884090
2025-08-22,297.77,299.36,297.53,299.22,1036090
2025-08-25,297.79,301.33,297.35,300.67,2166224
2025-08-26,301.0,301.11,300.55,300.93,2499311
2025-08-27,301.0,302.94,300.01,302.02,925376
2025-08-28,302.45,304.92,301.63,304.38,1385675
2025-08-29,305.22,307.04,305.0,306.27,2442649
2025-09-01,307.5,307.57,305.79,305.93,1060126
2025-09-02,305.4,306.25,303.84,304.26,2399536
2025-09-03,305.3,306.53,304.53,306.23,1736430
2025-09-04,305.64,306.28,303.76,304.36,1086681
2025-09-05,303.32,307.36,302.46,306.57,1828736
2025-09-08,306.76,309.27,306.72,308.28,877285
2025-09-09,308.51,309.77,307.59,308.99,1508197
2025-09-10,308.98,310.43,308.63,309.68,2426305
2025-09-11,310.6,311.42,309.24,309.6,924054
2025-09-12,309.41,310.0,307.15,307.4,1831322
2025-09-15,308.05,308.93,305.43,306.46,2458136
2025-09-16,306.07,306.74,304.23,304.61,1593003
2025-09-17,303.86,303.97,303.1,303.45,1453054
2025-09-18,302.69,305.07,302.5,304.03,1356640
2025-09-19,303.46,305.33,302.87,304.42,1675032
2025-09-22,303.84,304.44,302.71,304.41,1659255
2025-09-23,303.55,307.17,303.49,306.74,1641320
2025-09-24,307.21,309.22,306.56,308.65,2240193
2025-09-25,309.8,310.67,307.39,308.31,1422093
2025-09-26,308.52,308.75,307.15,307.81,925003
2025-09-29,308.6,308.94,306.65,307.83,1956677
2025-09-30,309.26,309.73,304.97,305.93,1376445
2025-10-01,306.69,308.36,306.08,308.12,1650132
2025-10-02,307.03,307.43,305.28,305.85,1576880
2025-10-03,305.89,306.77,305.16,306.38,1076253
2025-10-06,307.1,309.19,306.69,308.83,2208091
2025-10-07,309.46,309.82,308.02,308.99,1426208
2025-10-08,310.43,311.13,308.91,309.86,2033051
