Date,Open,High,Low,Close,Volume
2025-06-11,329.78,329.99,326.88,328.03,1680528
2025-06-12,327.28,328.3,325.24,325.78,2162408
2025-06-13,327.25,327.96,325.48,326.62,2315424
2025-06-16,327.28,327.89,326.19,327.19,1731382
2025-06-17,327.92,329.74,327.61,329.17,1220307
2025-06-18,329.97,330.59,329.11,329.86,1266815
2025-06-19,329.22,329.54,327.36,327.75,1718258
2025-06-20,326.94,327.77,325.09,325.94,909189
2025-06-23,326.07,326.57,325.23,325.48,1514243
2025-06-24,325.73,328.34,324.7,327.5,2101510
2025-06-25,326.02,327.33,325.11,326.9,2250861
2025-06-26,326.66,330.07,326.0,329.17,1825529
2025-06-27,328.33,328.85,327.74,327.77,1371420
2025-06-30,327.49,328.87,326.92,328.67,1016967
2025-07-01,327.25,329.75,326.57,329.28,846073
2025-07-02,328.19,330.55,328.13,329.99,1444476
2025-07-03,329.47,330.39,328.1,328.55,2078416
2025-07-04,327.81,330.31,327.79,330.21,1717012
2025-07-07,329.76,333.49,328.82,332.71,1907982
2025-07-08,334.06,334.3,333.96,333.98,1059049
2025-07-09,334.49,335.17,331.85,332.11,1989090
2025-07-10,331.12,334.18,330.22,333.45,994705
2025-07-11,334.84,335.17,334.81,335.04,1330327
2025-07-14,336.42,336.89,335.07,335.93,929194
2025-07-15,336.31,337.01,335.39,336.88,2245498
2025-07-16,335.75,338.57,334.81,337.39,1390246
2025-07-17,337.0,337.64,336.59,337.03,2244278
2025-07-18,335.84,339.79,335.08,338.64,2208802
2025-07-21,338.45,340.56,337.29,339.68,1259140
2025-07-22,339.79,341.8,339.27,341.22,2042744
2025-07-23,342.27,343.27,339.96,340.06,2298773
2025-07-24,339.95,340.69,338.32,338.78,848789
2025-07-25,337.82,340.79,336.87,340.53,1378576
2025-07-28,341.14,342.77,341.12,342.43,2411706
2025-07-29,343.1,343.68,339.45,340.36,1974035
2025-07-30,340.34,342.04,340.22,341.09,1176713
2025-07-31,340.51,342.75,339.94,342.05,1702567
2025-08-01,342.79,343.19,340.84,341.68,1260557
2025-08-04,340.54,340.77,340.29,340.44,1710968
2025-08-05,339.49,342.01,338.91,341.75,2031794
2025-08-06,341.82,344.47,341.7,344.13,1129999
2025-08-07,343.17,343.19,342.13,342.77,1266329
2025-08-08,342.93,345.98,342.78,345.14,2276384
2025-08-11,346.26,346.95,344.53,345.09,1548796
2025-08-12,343.75,344.88,342.94,343.51,2197596
2025-08-13,342.24,343.77,342.17,343.02,1053635
2025-08-14,342.43,344.53,342.29,343.33,2099553
2025-08-15,344.2,344.48,343.24,343.86,1565874
2025-08-18,344.94,346.13,343.21,343.58,1855746
2025-08-19,344.3,345.44,343.88,344.13,1158742
2025-08-20,343.1,345.14,343.01,344.93,804548
2025-08-21,345.21,345.56,344.4,344.68,2001824
2025-08-22,344.54,346.52,343.43,345.7,2139307
2025-08-25,346.18,347.44,345.67,346.32,1725756
2025-08-26,347.55,348.54,346.97,347.06,1082068
2025-08-27,347.81,348.49,345.75,346.1,1011401
2025-08-28,346.7,348.17,346.1,347.04,1639451
2025-08-29,345.66,346.18,344.56,344.94,1225625
2025-09-01,346.33,347.33,342.21,342.9,2416336
2025-09-02,343.42,345.72,343.37,345.4,2085657
2025-09-03,345.85,346.95,345.03,345.25,1795060
2025-09-04,345.22,346.03,344.81,345.92,1366624
2025-09-05,347.0,347.39,345.94,346.77,1289970
2025-09-08,347.72,349.66,347.17,349.0,1334679
2025-09-09,350.41,350.9,347.5,348.12,2479802
2025-09-10,348.24,349.4,348.02,348.91,1415024
2025-09-11,349.28,351.1,349.04,350.19,1733673
2025-09-12,350.0,353.16,349.86,352.33,2454349
2025-09-15,351.54,353.06,350.88,352.87,1738827
2025-09-16,354.35,355.44,350.28,350.84,999692
2025-09-17,350.83,353.36,350.22,352.5,1264822
2025-09-18,353.94,354.46,353.28,354.17,1452096
2025-09-19,354.2,357.33,353.16,356.28,1269620
2025-09-22,356.02,358.85,355.42,357.73,2194934
2025-09-23,357.13,357.83,355.45,356.64,1632388
2025-09-24,356.76,357.17,354.22,354.89,1723831
2025-09-25,354.35,354.89,353.52,354.66,1772055
2025-09-26,355.49,355.54,352.44,353.33,1998887
2025-09-29,352.99,355.68,352.0,354.89,2467390
2025-09-30,353.5,355.47,352.79,354.87,2278490
2025-10-01,354.69,357.37,354.14,356.74,2028154
2025-10-02,357.2,357.39,355.72,356.29,2447646
2025-10-03,356.86,357.64,354.46,355.48,2248980
2025-10-06,355.12,357.66,354.26,357.28,2090983
2025-10-07,355.88,359.22,355.13,359.14,2365579
2025-10-08,359.88,362.15,359.76,361.62,1877371
