Date,Open,High,Low,Close,Volume
2025-06-11,449.83,452.7,448.75,451.86,878184
2025-06-12,451.24,453.79,451.07,453.34,1702982
2025-06-13,454.22,454.43,453.58,453.67,2280427
2025-06-16,452.9,455.37,452.72,454.27,1583954
2025-06-17,453.54,453.55,452.08,453.04,2332056
2025-06-18,452.02,454.46,451.6,453.93,1798871
2025-06-19,453.7,454.92,452.69,454.62,1138668
2025-06-20,454.57,454.86,453.36,454.05,1777180
2025-06-23,453.43,457.68,452.64,456.51,1266616
2025-06-24,457.07,457.96,456.78,456.84,1830891
2025-06-25,458.05,458.4,455.87,456.82,1832010
2025-06-26,457.23,457.98,455.27,456.09,2025578
2025-06-27,457.1,457.86,455.8,456.88,1898779
2025-06-30,456.7,457.4,455.05,455.93,953226
2025-07-01,456.67,456.88,454.74,454.9,1716993
2025-07-02,454.99,458.36,454.0,457.26,1236849
2025-07-03,457.21,459.85,456.31,458.88,1375815
2025-07-04,460.27,460.44,455.8,456.96,2262239
2025-07-07,458.4,459.56,457.11,458.08,1421817
2025-07-08,456.62,460.18,456.08,459.53,1943808
2025-07-09,459.79,461.38,458.66,460.4,984188
2025-07-10,458.97,460.13,458.3,459.06,2355935
2025-07-11,457.75,458.74,456.58,457.67,1313723
2025-07-14,456.59,458.35,456.23,457.21,1637461
2025-07-15,458.37,458.54,454.65,455.2,1939826
2025-07-16,456.54,457.04,455.52,456.41,1062688
2025-07-17,455.21,456.58,454.72,455.99,2417586
2025-07-18,455.6,456.13,452.51,453.65,2254265
2025-07-21,454.21,454.86,450.48,451.65,1409745
2025-07-22,450.72,451.29,449.7,451.14,1573019
2025-07-23,451.56,452.67,451.54,451.95,2137550
2025-07-24,450.83,451.51,450.59,450.67,2100767
2025-07-25,449.82,450.86,448.81,449.21,1050842
2025-07-28,447.72,452.24,447.54,451.21,1020986
2025-07-29,450.23,451.03,449.93,449.96,825262
2025-07-30,449.18,451.8,448.97,451.41,889078
2025-07-31,451.49,453.52,450.92,452.62,2122628
2025-08-01,451.45,453.29,450.31,452.69,873720
2025-08-04,453.79,454.73,453.24,454.1,2438844
2025-08-05,454.04,454.52,451.08,451.91,1633457
2025-08-06,450.63,454.05,449.9,453.96,911659
2025-08-07,454.36,455.01,452.44,452.83,2490867
2025-08-08,452.69,453.71,452.57,452.98,1993025
2025-08-11,453.44,455.67,452.57,454.75,1165539
2025-08-12,453.93,454.91,453.39,454.51,1507182
2025-08-13,454.29,455.08,452.03,452.48,1059486
2025-08-14,451.18,455.59,451.07,454.6,964159
2025-08-15,455.53,456.46,454.83,455.79,1754696
2025-08-18,454.66,455.36,453.86,454.94,2075483
2025-08-19,455.6,457.94,454.88,456.78,1397798
2025-08-20,455.92,457.96,455.65,457.17,983971
2025-08-21,456.77,459.81,456.08,458.9,2172276
2025-08-22,460.32,461.6,459.58,460.62,1892588
2025-08-25,461.91,462.9,457.93,458.25,1106707
2025-08-26,457.68,459.67,457.67,459.27,2278766
2025-08-27,458.97,459.77,458.21,459.6,852117
2025-08-28,458.74,461.33,458.33,460.83,1429090
2025-08-29,461.66,462.62,461.56,461.94,889435
2025-09-01,462.29,463.1,459.9,460.22,1925295
2025-09-02,460.05,460.48,459.14,460.15,993489
2025-09-03,459.5,460.62,458.92,459.8,1934125
2025-09-04,459.49,460.21,457.52,457.53,1312412
2025-09-05,456.44,456.75,455.69,456.08,813140
2025-09-08,455.11,457.78,454.27,457.32,1650445
2025-09-09,458.24,459.07,457.2,458.99,871913
2025-09-10,460.25,461.28,455.89,456.58,1774779
2025-09-11,456.33,457.77,456.31,457.63,1352105
2025-09-12,457.98,460.13,456.88,459.13,949820
2025-09-15,458.36,461.56,457.74,460.86,1472803
2025-09-16,460.38,460.78,459.71,459.91,1667821
2025-09-17,459.94,461.03,457.56,457.98,2036544
2025-09-18,458.92,459.86,458.75,459.57,1135362
2025-09-19,460.35,461.14,459.87,460.09,2113841
2025-09-22,460.85,461.76,459.52,460.06,2371062
2025-09-23,460.46,461.21,459.34,460.38,1866269
2025-09-24,459.08,459.61,458.27,458.63,1266945
2025-09-25,458.65,459.03,455.87,456.41,896713
2025-09-26,455.14,459.11,454.12,458.07,1845514
2025-09-29,457.96,458.77,457.01,458.11,2322990
2025-09-30,459.04,459.82,457.47,457.86,1608569
2025-10-01,456.54,456.67,455.03,456.11,1383844
2025-10-02,456.12,457.39,455.83,457.18,1544189
2025-10-03,457.25,457.44,456.43,456.88,1280919
2025-10-06,456.39,457.14,455.45,456.42,1900419
2025-10-07,455.21,456.02,453.91,454.25,2030347
2025-10-08,455.47,456.52,454.64,455.04,1790657
