Date,Open,High,Low,Close,Volume
2025-06-11,440.16,440.23,439.38,439.4,1091352
2025-06-12,439.2,440.34,438.52,439.4,2258532
2025-06-13,439.48,439.53,437.12,437.37,2275798
2025-06-16,437.3,439.37,437.21,439.31,2373494
2025-06-17,439.5,441.35,438.39,441.31,1334623
2025-06-18,441.57,444.52,440.71,443.61,1477103
2025-06-19,442.6,442.89,440.5,441.5,1461566
2025-06-20,440.99,444.39,440.83,443.48,2480412
2025-06-23,443.48,445.77,443.42,444.6,1543050
2025-06-24,444.12,447.22,442.98,446.3,1474395
2025-06-25,444.88,447.99,443.69,447.66,1634025
2025-06-26,448.99,449.51,446.13,446.94,1923142
2025-06-27,447.3,448.26,444.02,444.87,939464
2025-06-30,445.51,446.27,442.25,443.14,1338352
2025-07-01,441.66,442.03,440.74,441.17,1258602
2025-07-02,440.24,440.78,438.67,439.34,1493675
2025-07-03,438.9,439.01,436.25,436.97,1351531
2025-07-04,436.34,436.86,436.24,436.39,2331931
2025-07-07,437.83,439.11,437.63,438.42,1447244
2025-07-08,437.82,438.42,436.54,436.62,1538949
2025-07-09,436.57,436.66,435.92,436.22,1219203
2025-07-10,436.5,437.08,436.37,436.85,1317918
2025-07-11,436.34,439.83,435.38,439.09,1360220
2025-07-14,440.04,441.07,437.09,438.26,1031411
2025-07-15,439.61,439.85,436.99,437.37,2439776
2025-07-16,436.74,440.54,436.15,439.71,1778994
2025-07-17,439.34,440.32,437.95,438.42,993609
2025-07-18,438.7,439.4,437.88,438.74,1735168
2025-07-21,438.63,441.86,438.1,441.01,1295263
2025-07-22,441.96,442.93,441.47,441.97,1648815
2025-07-23,441.2,443.43,440.34,442.64,2141430
2025-07-24,444.11,444.68,440.03,440.51,1661241
2025-07-25,441.08,443.26,440.13,442.61,1411200
2025-07-28,442.72,445.35,442.62,444.59,2107221
2025-07-29,444.15,446.15,444.1,445.38,2472133
2025-07-30,445.07,447.17,443.92,446.26,1531774
2025-07-31,445.54,446.15,443.19,443.82,1786881
2025-08-01,443.65,444.66,442.73,444.19,1800602
2025-08-04,443.73,444.22,443.6,444.19,1507158
2025-08-05,443.04,447.63,442.87,446.5,1330213
2025-08-06,445.62,446.86,445.05,446.28,1544882
2025-08-07,445.74,447.62,444.76,447.26,995644
2025-08-08,447.71,449.82,447.51,449.01,2472630
2025-08-11,448.03,448.22,447.06,447.73,2429386
2025-08-12,447.44,447.66,445.62,446.39,1534628
2025-08-13,446.73,446.97,443.32,444.03,1461020
2025-08-14,443.15,445.96,442.18,445.06,906358
2025-08-15,446.17,446.4,442.67,443.07,1577835
2025-08-18,444.15,444.79,441.11,441.88,1814850
2025-08-19,442.14,442.85,441.12,442.43,1849516
2025-08-20,443.05,444.36,442.31,444.0,944078
2025-08-21,442.86,443.22,441.95,442.17,1978842
2025-08-22,441.93,442.39,441.47,442.23,1115781
2025-08-25,442.81,443.68,441.61,442.9,1743351
2025-08-26,441.83,443.23,441.28,442.85,891139
2025-08-27,441.38,442.31,440.4,442.15,2438509
2025-08-28,442.13,443.0,441.63,442.17,2227816
2025-08-29,440.92,442.16,440.01,442.12,1296552
2025-09-01,442.23,442.43,440.44,440.99,2062281
2025-09-02,441.14,442.46,441.0,442.32,2117692
2025-09-03,441.92,444.93,441.87,443.94,2022266
2025-09-04,445.41,445.53,443.17,444.17,2077287
2025-09-05,445.67,446.21,442.74,443.16,2188438
2025-09-08,444.64,445.57,442.57,442.85,2178194
2025-09-09,442.41,444.15,441.65,443.29,1082168
2025-09-10,442.41,442.66,441.42,441.49,1396386
2025-09-11,441.61,441.99,439.55,440.4,1291866
2025-09-12,441.47,442.65,438.42,439.23,961882
2025-09-15,440.09,442.65,438.9,441.55,2273980
2025-09-16,442.64,442.94,438.83,439.68,2208419
2025-09-17,440.21,441.58,439.52,440.99,1256819
2025-09-18,440.84,441.6,439.5,440.56,958261
2025-09-19,439.89,441.76,439.45,440.64,2415431
2025-09-22,439.14,440.7,438.27,439.77,2042584
2025-09-23,440.27,440.7,439.49,439.57,1708521
2025-09-24,439.35,439.61,437.83,438.15,2208184
2025-09-25,438.39,439.07,436.76,437.34,1384357
2025-09-26,435.99,438.38,435.05,438.26,1581288
2025-09-29,439.33,439.86,436.38,436.38,2428654
2025-09-30,436.94,437.1,434.11,434.89,1070261
2025-10-01,434.21,437.84,433.91,437.05,1432134
2025-10-02,436.05,439.55,435.68,439.07,1989050
2025-10-03,439.54,440.38,437.74,437.74,1610571
2025-10-06,436.92,437.74,435.89,435.91,1982515
2025-10-07,437.37,438.0,437.21,437.49,920408
2025-10-08,438.18,438.31,436.53,436.91,2297681
