Date,Open,High,Low,Close,Volume
2025-06-11,238.58,241.51,237.42,240.94,2130936
2025-06-12,241.17,243.19,240.47,242.32,1089870
2025-06-13,242.68,243.98,242.5,242.97,1957235
2025-06-16,244.31,244.44,240.6,240.62,1333277
2025-06-17,241.2,241.69,237.95,238.88,2364885
2025-06-18,239.59,240.82,239.42,240.75,1152480
2025-06-19,241.23,241.86,239.49,239.87,1094410
2025-06-20,239.4,242.36,238.47,241.93,2025571
2025-06-23,242.51,243.38,242.28,242.65,1219082
2025-06-24,241.82,244.11,241.47,242.94,1291307
2025-06-25,243.55,243.93,241.06,241.47,2387290
2025-06-26,240.79,243.1,239.98,242.95,1445480
2025-06-27,243.91,246.5,242.94,245.35,1293769
2025-06-30,245.99,246.41,243.76,244.29,1235954
2025-07-01,243.4,244.83,242.28,244.19,1983491
2025-07-02,244.53,245.24,242.08,242.37,1938717
2025-07-03,242.79,242.85,242.03,242.53,2019508
2025-07-04,243.34,243.35,239.87,240.53,2379469
2025-07-07,241.84,242.89,239.49,240.06,1139075
2025-07-08,239.53,243.16,238.44,242.38,952083
2025-07-09,242.49,243.62,241.37,242.75,2352490
2025-07-10,243.9,244.11,240.03,241.13,2495192
2025-07-11,241.12,242.24,239.46,240.62,2374267
2025-07-14,239.14,243.18,239.01,242.5,2471089
2025-07-15,243.97,244.62,240.83,241.42,2395552
2025-07-16,241.33,243.41,241.19,243.18,1076240
2025-07-17,242.45,243.2,241.56,242.97,2144305
2025-07-18,243.74,243.95,242.28,243.31,2324972
2025-07-21,243.36,245.05,242.55,244.95,1114128
2025-07-22,244.42,244.71,242.84,243.15,1200386
2025-07-23,244.51,244.87,243.55,244.42,819440
2025-07-24,245.0,245.26,244.85,245.19,1321570
2025-07-25,245.19,246.27,243.87,244.71,1328662
2025-07-28,245.96,246.32,242.06,242.8,1172518
2025-07-29,241.76,242.66,240.24,240.97,1506937
2025-07-30,240.88,241.86,240.08,241.21,1171299
2025-07-31,241.98,243.03,239.85,239.95,1559471
2025-08-01,238.69,241.65,238.61,240.97,1731003
2025-08-04,241.19,241.37,240.6,241.0,1684580
2025-08-05,240.11,240.81,238.97,239.08,1667638
2025-08-06,238.94,241.24,238.39,240.62,898152
2025-08-07,241.54,242.41,239.96,240.43,2187970
2025-08-08,240.67,241.72,240.26,241.66,908391
2025-08-11,242.97,244.22,241.85,244.13,853949
2025-08-12,244.94,245.86,242.5,243.68,1897997
2025-08-13,245.16,245.62,242.24,243.28,2341504
2025-08-14,243.83,244.62,242.01,242.66,1911007
2025-08-15,241.69,242.54,241.06,241.9,2037358
2025-08-18,240.41,240.54,240.05,240.51,1944949
2025-08-19,240.61,241.72,240.31,240.73,1388471
2025-08-20,242.04,242.91,239.48,239.61,2176112
2025-08-21,240.41,241.47,239.19,239.21,1150338
2025-08-22,237.81,238.53,236.37,237.21,882749
2025-08-25,236.92,238.7,236.66,238.41,2268341
2025-08-26,238.43,238.77,235.22,236.2,2043579
2025-08-27,236.49,237.3,234.91,235.29,1312999
2025-08-28,235.77,236.04,233.15,233.51,903627
2025-08-29,234.65,236.84,233.9,235.75,1526240
2025-09-01,237.17,238.3,234.92,235.73,2135867
2025-09-02,235.48,235.66,234.37,234.82,2082507
2025-09-03,235.87,236.23,233.84,234.69,2169819
2025-09-04,234.88,237.92,234.21,236.76,1027957
2025-09-05,235.87,236.65,234.37,235.48,2240126
2025-09-08,236.15,236.38,233.12,233.44,1945242
2025-09-09,234.56,234.79,233.04,233.95,2031318
2025-09-10,233.89,235.29,233.49,234.25,2426933
2025-09-11,235.56,236.71,231.68,231.83,2499272
2025-09-12,231.05,232.44,230.81,231.72,2355714
2025-09-15,232.55,233.0,231.34,231.98,1410741
2025-09-16,232.02,232.62,230.67,230.79,2468241
2025-09-17,231.81,232.9,230.19,230.64,1503681
2025-09-18,229.8,231.12,229.49,230.95,2389089
2025-09-19,230.7,231.53,230.3,231.34,1445727
2025-09-22,231.34,233.8,230.52,233.01,1237455
2025-09-23,234.41,235.39,233.82,234.62,1085997
2025-09-24,233.63,236.96,233.04,236.09,2358728
2025-09-25,236.52,236.59,236.26,236.3,2239385
2025-09-26,236.81,239.45,236.31,238.53,2232326
2025-09-29,239.15,239.16,236.58,237.19,1434441
2025-09-30,237.69,238.52,237.11,237.78,1629352
2025-10-01,237.93,237.95,234.67,235.31,1267059
2025-10-02,233.86,238.67,233.05,237.7,2170485
2025-10-03,236.52,239.86,236.34,239.75,1126284
2025-10-06,240.69,241.01,239.4,239.88,1434187
2025-10-07,240.07,241.26,239.14,239.41,1962870
2025-10-08,239.87,242.18,238.96,241.15,958950
